PF04	38.939251	47.159142	39.717312	S
DAI01	34	30	1	D
DAI02	37.666667	33.333333	1	D
DAI03	41.333333	36.666667	1	D
DAI04	45	40	1	D
DAMT01	13	9	-17	D
DAMT02	17.571429	10.857143	-18	D
DAMT03	22.142857	12.714286	-19	D
DAMT04	26.714286	14.571429	-20	D
DAMT05	31.285714	16.428571	-21	D
DAMT06	35.857143	18.285714	-22	D
DAMT07	40.428571	20.142857	-23	D
DAMT08	45	22	-24	D
DLMF01	-6	25	39	D
DLMF02	-1.333333	25.888889	37.333333	D
DLMF03	3.333333	26.777778	35.666667	D
DLMF04	8	27.666667	34	D
DLMF05	12.666667	28.555556	32.333333	D
DLMF06	17.333333	29.444444	30.666667	D
DLMF07	22	30.333333	29	D
DLMF08	26.666667	31.222222	27.333333	D
DLMF09	31.333333	32.111111	25.666667	D
DLMF10	36	33	24	D
DLMP01	7	-44	58	D
DLMP02	9.769231	-40.230769	56.538462	D
DLMP03	12.538462	-36.461538	55.076923	D
DLMP04	15.307692	-32.692308	53.615385	D
DLMP05	18.076923	-28.923077	52.153846	D
DLMP06	20.846154	-25.153846	50.692308	D
DLMP07	23.615385	-21.384615	49.230769	D
DLMP08	26.384615	-17.615385	47.769231	D
DLMP09	29.153846	-13.846154	46.307692	D
DLMP10	31.923077	-10.076923	44.846154	D
DLMP11	34.692308	-6.307692	43.384615	D
DLMP12	37.461538	-2.538462	41.923077	D
DLMP13	40.230769	1.230769	40.461538	D
DLMP14	43	5	39	D
DPI01	33	1	10	D
DPI02	37	4	11.333333	D
DPI03	41	7	12.666667	D
DPI04	45	10	14	D
DPMT01	29	-10	-7	D
DPMT02	32.5	-7.5	-9.666667	D
DPMT03	36	-5	-12.333333	D
DPMT04	39.5	-2.5	-15	D
DPMT05	43	0	-17.666667	D
DPMT06	46.5	2.5	-20.333333	D
DPMT07	50	5	-23	D
